,name,lat,lon,h
200,KNYNEWYO449,40.752,-74.005,26.0
201,KNYNEWYO453,40.738,-74.001,82.0
202,KNYNEWYO460,40.778,-73.976,131.0
203,KNYNEWYO476,40.794,-73.969,177.0
204,KNYNEWYO480,40.781,-73.96,196.0
205,KNYNEWYO482,40.782,-73.957,187.0
206,KNYNEWYO492,40.797,-73.962,131.0
207,KNYNEWYO503,40.702,-73.993,62.0
208,KNYNEWYO520,40.815,-73.942,62.0
209,KNYNEWYO550,40.733,-73.996,0.0
210,KNYNEWYO554,40.779,-73.988,0.0
211,KNYNEWYO556,40.769,-73.961,0.0
212,KNYNEWYO560,40.717,-73.994,0.0
213,KNYNEWYO562,40.743,-73.995,0.0
214,KNYNEWYO564,40.779,-73.975,0.0
215,KNYNEWYO568,40.765,-73.976,0.0
216,KNYNEWYO572,40.771,-73.992,0.0
217,KNYNEWYO574,40.709,-74.001,0.0
218,KNYNEWYO577,40.772,-73.983,0.0
219,KNYNEWYO581,40.761,-73.999,0.0
220,KNYNEWYO583,40.77,-73.956,0.0
221,KNYNEWYO586,40.705,-74.008,0.0
222,KNYNEWYO592,40.776,-73.944,0.0
223,KNYNEWYO365,40.768,-73.91,82.0
224,KNYNEWYO589,40.646,-74.004,157.0
225,KNYNEWYO176,40.624,-73.991,52.0
226,KNYNEWYO81,40.72,-73.889,108.0
227,KNYNEWYO223,40.732,-73.952,75.0
228,KNYNEWYO411,40.582,-74.093,2.0
229,KNYNEWYO543,40.582,-74.093,2.0
231,KNYNEWYO386,40.657,-73.979,154.0
232,KNYNEWYO366,40.727,-73.999,33.0
233,KNYNEWYO369,40.726,-73.997,66.0
234,KNYNEWYO103,40.567,-74.133,74.0
239,KNYNEWYO531,40.611,-73.95,33.0
240,KNYNEWYO488,40.648,-73.887,23.0
241,KNYNEWYO400,40.66,-73.985,171.0
242,KNYNEWYO364,40.739,-73.828,49.0
243,KNYNEWYO126,40.679,-73.851,33.0
244,KNYNEWYO395,40.747,-73.993,110.0
246,KNYMIDDL23,40.721,-73.888,108.0
247,KNYQUEEN13,40.745,-73.91,115.0
