,name,lat,lon,h,street_elevation,building_elevation
178,KNYNEWYO449,40.752,-74.005,26.0,50.85772114,85.5951155665
179,KNYNEWYO453,40.738,-74.001,82.0,32.8362909506,83.021943113
180,KNYNEWYO460,40.778,-73.976,131.0,50.85772114,149.852498532
181,KNYNEWYO476,40.794,-73.969,177.0,54.683846836,195.166
182,KNYNEWYO480,40.781,-73.96,196.0,55.755490087,251.024
183,KNYNEWYO482,40.782,-73.957,187.0,55.755490087,264.343045665
184,KNYNEWYO492,40.797,-73.962,131.0,54.683846836,151.151
185,KNYNEWYO503,40.702,-73.993,62.0,32.8362909506,64.240849819
186,KNYNEWYO520,40.815,-73.942,62.0,50.109659717,74.953
187,KNYNEWYO550,40.733,-73.996,0.0,32.8362909506,151.430463155
188,KNYNEWYO554,40.779,-73.988,0.0,50.85772114,252.604868346
189,KNYNEWYO556,40.769,-73.961,0.0,50.85772114,233.852721733
190,KNYNEWYO560,40.717,-73.994,0.0,32.8362909506,95.38871231
191,KNYNEWYO562,40.743,-73.995,0.0,37.9833962446,155.563174287
192,KNYNEWYO564,40.779,-73.975,0.0,50.85772114,155.49678603
193,KNYNEWYO568,40.765,-73.976,0.0,50.85772114,294.568750002
194,KNYNEWYO572,40.771,-73.992,0.0,50.85772114,92.722311556
195,KNYNEWYO574,40.709,-74.001,0.0,32.8362909506,70.62455282
196,KNYNEWYO577,40.772,-73.983,0.0,50.85772114,271.284606538
197,KNYNEWYO581,40.761,-73.999,0.0,50.85772114,276.224161924
198,KNYNEWYO583,40.77,-73.956,0.0,59.17572114,105.859056276
199,KNYNEWYO586,40.705,-74.008,0.0,32.8362909506,222.08751924
200,KNYNEWYO592,40.776,-73.944,0.0,55.755490087,95.047105349
201,KNYNEWYO365,40.768,-73.91,82.0,43.688812203,79.295
202,KNYNEWYO589,40.646,-74.004,157.0,24.9723678036,99.996290201
203,KNYNEWYO176,40.624,-73.991,52.0,25.0572740346,71.45207204
204,KNYNEWYO81,40.72,-73.889,108.0,61.028679301,130.816
205,KNYNEWYO223,40.732,-73.952,75.0,50.85772114,33.505653435
206,KNYNEWYO411,40.582,-74.093,2.0,3.074108365,33.676
207,KNYNEWYO543,40.582,-74.093,2.0,3.074108365,33.676
208,KNYNEWYO386,40.657,-73.979,154.0,19.3274946936,72.031915777
209,KNYNEWYO366,40.727,-73.999,33.0,32.8362909506,135.200343534
210,KNYNEWYO369,40.726,-73.997,66.0,32.8362909506,138.504598631
211,KNYNEWYO103,40.567,-74.133,74.0,47.457042269,94.143657469
212,KNYNEWYO531,40.611,-73.95,33.0,8.706473454,41.092
213,KNYNEWYO488,40.648,-73.887,23.0,5.853560931,36.598837306
214,KNYNEWYO400,40.66,-73.985,171.0,22.6856389906,96.135
215,KNYNEWYO364,40.739,-73.828,49.0,9.083318851,76.17367
216,KNYNEWYO126,40.679,-73.851,33.0,57.382918851,57.49
217,KNYNEWYO395,40.747,-73.993,110.0,50.85772114,211.608766746
218,KNYMIDDL23,40.721,-73.888,108.0,61.028679301,124.339
219,KNYQUEEN13,40.745,-73.91,115.0,45.188564339,135.842
